Locality,Property_Type,Area_sqft,Bedrooms,Bathrooms,Balconies,Floor,Total_Floors,Property_Age,Furnished,Parking,Lift,Power_Backup,Security,Gym,Swimming_Pool,Distance_Metro_km,Distance_School_km,Distance_Hospital_km,Facing,Water_Supply,Latitude,Longitude,Price_Lakhs
Maheshwaram,Apartment,964,2,2,2,4,4,2,Fully Furnished,1,Yes,Yes,Yes,Yes,Yes,7.83,0.5,2.39,South-East,24x7,17.475143,78.533099,33.35
Rajendra Nagar,Independent House,631,1,2,1,2,9,6,Semi-Furnished,0,Yes,No,Yes,No,No,9.25,6.51,7.43,West,12 Hours,17.316204,78.417899,31.54
Karmanghat,Independent House,1570,3,3,0,2,2,7,Semi-Furnished,0,Yes,Yes,No,No,No,9.72,3.11,4.02,South,Limited,17.458235,78.506923,72.08
Patancheru,Apartment,1223,2,2,0,12,15,8,Fully Furnished,2,Yes,No,Yes,Yes,Yes,12.17,3.39,1.13,North-West,24x7,17.289117,78.580682,43.36
Ramanthapur,Villa,1346,3,3,1,8,8,17,Semi-Furnished,2,No,No,No,Yes,Yes,7.89,1.0,0.95,West,24x7,17.327468,78.423065,76.28
Kothaguda,Apartment,1594,3,4,3,8,17,17,Unfurnished,2,Yes,No,No,Yes,No,6.8,3.79,9.56,North-East,Limited,17.345848,78.491651,114.76
LB Nagar,Villa,1177,2,2,0,12,12,5,Fully Furnished,2,Yes,No,No,Yes,Yes,13.97,7.07,8.4,North-East,24x7,17.343246,78.509071,66.12
Alwal,Builder Floor,1098,2,1,2,1,5,21,Semi-Furnished,2,Yes,No,No,Yes,Yes,10.84,3.37,6.88,North-West,12 Hours,17.343429,78.459972,53.23
Safilguda,Apartment,560,1,1,0,0,1,22,Fully Furnished,0,Yes,Yes,Yes,No,Yes,7.96,2.44,5.11,North,Limited,17.442035,78.426635,22.0
Badangpet,Apartment,1058,2,2,0,3,4,11,Semi-Furnished,1,No,Yes,Yes,Yes,No,11.06,6.46,1.54,South,24x7,17.403483,78.39599,45.1
Safilguda,Apartment,977,2,1,1,3,18,1,Fully Furnished,2,Yes,Yes,Yes,Yes,No,7.54,1.95,4.31,East,24x7,17.319105,78.39971,48.31
Banjara Hills,Apartment,1665,3,3,3,15,18,4,Unfurnished,1,Yes,Yes,Yes,No,Yes,1.23,3.97,9.23,North,24x7,17.478126,78.548379,228.72
Madinaguda,Apartment,1440,3,4,0,7,19,18,Fully Furnished,0,Yes,No,No,No,Yes,10.21,2.72,3.02,North,Limited,17.304534,78.523547,67.92
Begumpet,Apartment,1274,3,2,3,18,20,3,Unfurnished,2,Yes,No,Yes,No,Yes,13.25,3.15,2.0,North-East,Limited,17.309408,78.485735,108.25
Vanasthalipuram,Apartment,1879,3,2,1,1,9,3,Fully Furnished,2,Yes,No,No,Yes,No,3.45,5.18,3.01,South-West,12 Hours,17.466864,78.438456,77.19
Manikonda,Apartment,851,2,2,0,2,9,23,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,8.41,6.73,6.03,North,12 Hours,17.347342,78.490714,51.34
Ameerpet,Villa,1240,3,3,1,1,8,11,Fully Furnished,1,Yes,Yes,Yes,Yes,No,0.86,5.97,3.66,South-East,Limited,17.321971,78.580617,93.94
Kothaguda,Independent House,869,2,3,0,7,7,11,Semi-Furnished,0,Yes,Yes,Yes,No,No,4.54,0.83,7.85,North-West,Limited,17.4729,78.565665,75.97
Uppal,Builder Floor,1228,3,2,2,4,6,8,Unfurnished,0,No,No,No,No,Yes,6.09,4.74,2.92,South-East,24x7,17.469375,78.404399,70.73
Hayathnagar,Apartment,719,1,1,0,8,10,9,Fully Furnished,1,No,No,No,Yes,Yes,6.6,7.54,6.93,North,Limited,17.294045,78.451766,25.18
Begumpet,Apartment,696,1,1,1,19,19,20,Semi-Furnished,1,No,No,Yes,No,Yes,10.05,2.49,6.81,North-West,24x7,17.33927,78.552448,53.52
Isnapur,Apartment,862,2,1,0,2,16,14,Semi-Furnished,2,Yes,No,No,No,Yes,2.64,5.59,8.98,West,12 Hours,17.341187,78.495239,29.23
Chandanagar,Apartment,677,1,1,1,3,5,21,Fully Furnished,2,No,No,No,No,Yes,11.28,3.95,2.96,South,Limited,17.445439,78.40161,35.82
Kothapet,Apartment,889,2,2,0,5,9,10,Fully Furnished,0,Yes,Yes,Yes,No,Yes,10.74,0.79,4.37,South-West,12 Hours,17.439449,78.426443,54.17
Bachupally,Apartment,1220,3,4,3,1,1,9,Semi-Furnished,1,Yes,No,Yes,No,No,7.54,3.29,6.85,South-East,Limited,17.448092,78.528071,54.35
